Category,x
HP:0000845,20
HP:0000846,104
HP:0000847,31
HP:0000848,18
HP:0000849,14
HP:0000851,34
HP:0000852,8
HP:0000853,57
HP:0000854,13
HP:0000855,84
HP:0000857,22
HP:0000858,42
HP:0000859,35
HP:0000860,3
HP:0000863,20
HP:0000864,404
HP:0000866,3
HP:0000867,4
HP:0000868,85
HP:0000869,64
HP:0000870,33
HP:0000871,29
HP:0000872,17
HP:0000873,63
HP:0000875,8
HP:0000876,44
HP:0000877,3
HP:0000878,46
HP:0000879,13
HP:0000882,28
HP:0000883,50
HP:0000884,13
HP:0000885,26
HP:0000886,8
HP:0000887,23
HP:0000888,15
HP:0000889,102
HP:0000890,13
HP:0000891,10
HP:0000892,17
HP:0000893,4
HP:0000894,35
HP:0000895,12
HP:0000896,2
HP:0000897,7
HP:0000900,8
HP:0000902,43
HP:0000904,7
HP:0000905,3
HP:0000907,14
HP:0000910,1
HP:0000911,3
HP:0000912,51
HP:0000913,2
HP:0000914,18
HP:0000915,5
HP:0000916,11
HP:0000917,4
HP:0000918,2
HP:0000919,18
HP:0000920,10
HP:0000921,63
HP:0000922,5
HP:0000923,8
HP:0000924,3045
HP:0000925,1445
HP:0000926,116
HP:0000927,389
HP:0000929,2232
HP:0000932,201
HP:0000934,22
HP:0000935,12
HP:0000938,285
HP:0000939,304
HP:0000940,309
HP:0000941,2
HP:0000943,22
HP:0000944,218
HP:0000946,54
HP:0000947,7
HP:0000951,2060
HP:0000952,214
HP:0000953,322
HP:0000954,192
HP:0000956,44
HP:0000957,119
HP:0000958,163
HP:0000960,105
HP:0000961,100
HP:0000962,262
HP:0000963,91
HP:0000964,156
HP:0000965,67
HP:0000966,75
HP:0000967,48
HP:0000968,25
HP:0000969,606
HP:0000970,32
HP:0000971,9
HP:0000972,162
HP:0000973,122
HP:0000974,69
HP:0000975,142
HP:0000976,13
HP:0000977,39
HP:0000978,161
HP:0000979,115
HP:0000980,146
HP:0000982,149
HP:0000987,149
HP:0000988,131
HP:0000989,132
HP:0000991,27
HP:0000992,85
HP:0000993,6
HP:0000995,63
HP:0000996,10
HP:0000997,4
HP:0000998,283
HP:0000999,5
HP:0001000,489
HP:0001001,66
HP:0001003,15
HP:0001004,74
HP:0001005,322
HP:0001007,214
HP:0001008,2
HP:0001009,146
HP:0001010,210
HP:0001012,29
HP:0001013,3
HP:0001014,7
HP:0001015,31
HP:0001017,8
HP:0001018,241
HP:0001019,57
HP:0001022,20
HP:0001024,1
HP:0001025,52
HP:0001026,6
HP:0001027,12
HP:0001028,143
HP:0001029,24
HP:0001030,35
HP:0001031,7
HP:0001032,6
HP:0001033,1
HP:0001034,186
HP:0001036,30
HP:0001038,2
HP:0001039,1
HP:0001040,4
HP:0001041,12
HP:0001042,2
HP:0001043,3
HP:0001045,21
HP:0001046,9
HP:0001047,27
HP:0001048,31
HP:0001050,20
HP:0001051,25
HP:0001052,53
HP:0001053,120
HP:0001054,8
HP:0001055,9
HP:0001056,20
HP:0001057,39
HP:0001058,36
HP:0001059,40
HP:0001060,8
HP:0001061,74
HP:0001062,3
HP:0001063,19
HP:0001065,41
HP:0001067,22
HP:0001069,27
HP:0001070,8
HP:0001071,5
HP:0001072,429
HP:0001073,10
HP:0001074,5
HP:0001075,34
HP:0001076,3
HP:0001080,102
HP:0001081,81
HP:0001082,24
HP:0001083,44
HP:0001084,14
HP:0001085,29
HP:0001087,69
HP:0001088,15
HP:0001089,5
HP:0001090,44
HP:0001092,5
HP:0001093,7
HP:0001094,11
HP:0001095,19
HP:0001096,47
HP:0001097,42
HP:0001098,1250
HP:0001099,3
HP:0001100,23
HP:0001101,1
HP:0001102,10
HP:0001103,193
HP:0001104,15
HP:0001105,93
HP:0001106,4
HP:0001107,28
HP:0001112,1
HP:0001114,16
HP:0001115,8
HP:0001116,10
