From	Entry
ALG2	Q9H553
NIPAL4	Q0D2K0
SECISBP2	Q96T21
RPL13	P26373
PAFAH1B1	P43034
HNRNPA1	P09651
NFIX	Q14938
LRP5	O75197
PITX1	P78337
CTC1	Q2NKJ3
SMO	Q99835
SMO	Q9NWM0
WWOX	Q9NZC7
SOST	Q9BQB4
UFC1	Q9Y3C8
TYMS	P04818
TNNI2	P48788
KCNB1	Q14721
BANF1	O75531
COL10A1	Q03692
PTHLH	P12272
MAP2K1	Q02750
GNPTAB	Q3T906
SEMA5A	Q13591
RAB3GAP1	Q15042
FLNB	O75369
TDGF1	P13385
LIFR	P42702
ESR1	P03372
FANCM	Q8IYD8
TUBB2B	Q9BVA1
ZBTB18	Q99592
RNF168	Q8IYW5
SCNN1A	P37088
OCA2	Q04671
PAPPA2	Q9BXP8
UBE4B	O95155
STAT3	P40763
EYA1	Q99502
MESD	Q14696
TYMP	P19971
PEX26	Q7Z412
PIGA	P37287
NRAS	P01111
ANKRD17	O75179
CASK	O14936
CASK	P07498
ATP6V0A2	Q9Y487
MC4R	P32245
MAST1	Q7Z460
MAST1	Q9Y2H9
ANK1	P16157
MESP2	Q0VG99
SAMHD1	Q9Y3Z3
COL1A1	P02452
GPD1	P21695
USP9X	Q93008
CYFIP2	Q96F07
PDE11A	Q9HCR9
GALNS	P34059
B3GAT3	O94766
FANCE	Q9HB96
AP4S1	Q9Y587
EFNB1	P98172
FAM149B1	Q96BN6
CHST14	Q8NCH0
POU1F1	P28069
LARGE1	O95461
TMEM67	Q5HYA8
COL5A1	P20908
NEB	P20929
GTF2H5	Q6ZYL4
EXTL3	O43909
MECP2	P51608
CTSK	P43235
FANCB	Q8NB91
NSD2	O96028
NKX2-1	P43699
SASS6	Q6UVJ0
HES7	Q9BYE0
NCAPD3	P42695
MTHFS	P49914
DEAF1	O75398
DNM1	Q05193
IDS	P22304
CUX1	P39880
CUX1	Q13948
AIP	O00170
AIP	Q9NWT8
CASZ1	Q86V15
CACNA2D1	P54289
KIAA0753	Q2KHM9
ALOX12B	O75342
DNAJC3	Q13217
IPO8	O15397
IDH1	O75874
WIPI2	Q9Y4P8
ORC1	Q13415
ORC1	Q9Y619
PLOD1	Q02809
RPS24	P62847
PEX5	P50542
COL11A2	P13942
DNA2	P51530
CTNS	O60931
RPS27	P42677
BTK	Q06187
PLAG1	Q6DJT9
PBX1	P40424
NPHP1	O15259
LONP1	P36776
BBS5	Q8N3I7
SEMA3D	O95025
TGDS	O95455
TBL1XR1	Q9BZK7
MMP2	P08253
SPIDR	Q14159
EXT1	Q16394
RREB1	Q92766
PARN	O95453
PLK4	O00444
BMP2	P12643
ACTL6B	O94805
RIT1	Q92963
RIT1	Q9C0K0
