"gene","ExprSpecificAdiposeSub","ExprSpecificAdiposeVisceral","ExprSpecificAdrenalGland","ExprSpecificArteryAorta","ExprSpecificArteryCoronary","ExprSpecificArteryTibial","ExprSpecificAmygdala","ExprSpecificAntCingCortex","ExprSpecificCaudate","ExprSpecificCerebHemisphere","ExprSpecificCerebellum","ExprSpecificCortex","ExprSpecificFCortex","ExprSpecificHippocampus","ExprSpecificHypothalamus","ExprSpecificNucAccumbens","ExprSpecificPutamen","ExprSpecificSpinalcord","ExprSpecificSubstantianigra","ExprSpecificBreast","ExprSpecificCellsLymphocytes","ExprSpecificCellsFirbroblasts","ExprSpecificColonSigmoid","ExprSpecificColonTransverse","ExprSpecificEsophGastJunction","ExprSpecificEsophMucosa","ExprSpecificEsophMuscularis","ExprSpecificHeartAtrialApp","ExprSpecificHeartLeftVent","ExprSpecificLiver","ExprSpecificLung","ExprSpecificMuscleSkeletal","ExprSpecificNerveTibial","ExprSpecificOvary","ExprSpecificPancreas","ExprSpecificPituitary","ExprSpecificProstate","ExprSpecificSkinSuprapubic","ExprSpecificSkinLowerLeg","ExprSpecificSmallIntestine","ExprSpecificSpleen","ExprSpecificStomach","ExprSpecificTestis","ExprSpecificThyroid","ExprSpecificUterus","ExprSpecificVagina","ExprSpecificWholeBlood","ExACpLI","ExACpRec","ExACpNull","ExACpMiss","CountsOverlap","CountsProtCodOverlap","StringCombined"
"MAST1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999999024385856,9.75614144330927e-07,2.00678648960552e-17,7.63633913118487,3,1,0
"PRPF31",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.968045446613026,0.0319442089768862,1.03444100873709e-05,3.33543018079957,1,0,6
"JAK3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995863799803735,0.0041362000817402,1.14524465678421e-10,3.45971033929955,0,0,7
"SLC5A5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.740011195140398,0.259967990187734,2.0814671867698e-05,1.36850500021891,0,0,0
"COMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.316391078890459,0.49116945907559,0.192786473237887,0.748648413462779,0,0,6
"TMEM147",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.137954529384416,0.841959362304374,0.0200861083112098,0.860159035243808,1,0,0
"MAG",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.540766816780039,0.459102687788933,0.000130495431027576,2.02790780633138,0,0,5
"HAMP",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0425051340417533,0.847000084032949,0.110494781925298,0.216297488148514,0,0,3
"SCN1B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205166938448244,0.752173314342671,0.042659747209085,2.12052219536008,1,0,1
"ERF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.807144401200279,0.19263934990826,0.000216248891461343,2.99742814237426,1,1,0
"SIPA1L3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999676985877316,0.000323014122455094,2.28626679458788e-13,2.21223237470613,6,0,1
"ETHE1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0161751862087467,0.88438027200358,0.0994445417876733,1.59033217931902,1,1,0
"SMG9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.84811349964517e-11,0.192391097374808,0.80760890257671,1.61340530139214,0,0,3
"CFAP69",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.000134084128006003,0.999791648515321,7.42673566734968e-05,-1.14218663614986,2,0,0
"CDK6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.923677276455166,0.0762306647005339,9.20588443003271e-05,3.49222820507495,2,0,8
"PMPCB",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.37977878966889e-06,0.965839532676668,0.034155087544542,-0.25851458125145,1,0,0
